source,target
p1,perubahan harga
p1,perubahan pendapatan
p1,penjualan asset
p1,perubahan pengeluaran
p1,bantuan pemerintah
p1,persediaan pupuk
p1,tenaga kerja
p2,perubahan harga
p2,perubahan pendapatan
p2,perubahan pengeluaran
p2,bantuan pemerintah
p2,tenaga kerja
p3,perubahan harga
p3,perubahan pendapatan
p3,interaksi kelompok tani
p3,bantuan pemerintah
p4,perubahan harga
p4,perubahan pendapatan
p4,perubahan pengeluaran
p4,bantuan pemerintah
p4,interaksi kelompok tani
p4,persediaan pupuk
p5,perubahan harga
p5,perubahan pendapatan
p5,bantuan pemerintah
p5,interaksi kelompok tani
p6,perubahan produksi
p6,perubahan harga
p6,perubahan pengeluaran
p6,bantuan pemerintah
p7,perubahan produksi
p7,perubahan harga
p7,perubahan pendapatan
p7,bantuan pemerintah
p7,persediaan pupuk
pg2,perubahan produksi
pg2,perubahan harga
pg2,perubahan pengeluaran
pg2,penjualan asset
pg2,perubahan pendapatan
pg2,bantuan pemerintah
pg3,perubahan harga
pg3,perubahan pendapatan
pg3,penjualan asset
pg3,perubahan pengeluaran
pg3,tenaga kerja
p8,perubahan produksi
p8,perubahan harga
p8,perubahan pengeluaran
p8,perubahan pendapatan
p8,bantuan pemerintah
p9,perubahan harga
p9,perubahan pendapatan
p9,bantuan pemerintah
p9,persediaan pupuk
p9,interaksi kelompok tani
p10,perubahan harga
p10,perubahan pendapatan
p10,perubahan pengeluaran
p10,persediaan pupuk
p10,interaksi kelompok tani
pg1,perubahan harga
pg1,perubahan pendapatan
pg1,perubahan pengeluaran
pg1,persediaan pupuk
pg1,interaksi kelompok tani
pg1,tenaga kerja
pg4,perubahan produksi
pg4,perubahan harga
pg4,perubahan pendapatan
pg4,perubahan pengeluaran
pg4,bantuan pemerintah
pg4,tenaga kerja
pg5,perubahan produksi
pg5,perubahan harga
pg5,perubahan pendapatan
pg5,perubahan pengeluaran
pg5,tenaga kerja
pg6,perubahan produksi
pg6,perubahan harga
pg6,perubahan pengeluaran
pg6,perubahan pendapatan
pg6,persediaan pupuk
pg6,interaksi kelompok tani
pg6,tenaga kerja
p11,perubahan harga
p11,perubahan pendapatan
p11,bantuan pemerintah
p11,persediaan pupuk
p12,perubahan produksi
p12,perubahan harga
p12,perubahan pendapatan
p12,perubahan pengeluaran
p12,bantuan pemerintah
p12,persediaan pupuk
p12,tenaga kerja
p13,perubahan produksi
p13,perubahan harga
p13,perubahan pendapatan
p13,perubahan pengeluaran
p13,bantuan pemerintah
p13,persediaan pupuk
p13,tenaga kerja
p14,perubahan harga
p14,perubahan pendapatan
p14,perubahan pengeluaran
p14,persediaan pupuk
duma kopi,perubahan harga
duma kopi,perubahan pendapatan
duma kopi,perubahan pengeluaran
duma kopi,tenaga kerja
pg8,perubahan harga
pg8,perubahan pendapatan
pg8,perubahan pengeluaran
pg8,bantuan pemerintah
pg9,perubahan harga
pg9,perubahan pendapatan
pg9,bantuan pemerintah
pg9,interaksi kelompok tani
pg10,perubahan harga
pg10,perubahan pendapatan
pg10,perubahan pengeluaran
pg10,penjualan asset
pg10,bantuan pemerintah
pg10,persediaan pupuk
Ko. citra mulia ertiga,perubahan harga
Ko. citra mulia ertiga,perubahan pendapatan
Ko. citra mulia ertiga,perubahan pengeluaran
p15,perubahan produksi
p15,perubahan harga
p15,perubahan pendapatan
p15,perubahan pengeluaran
p16,perubahan produksi
p16,perubahan harga
p16,perubahan pendapatan
p16,perubahan pengeluaran
p16,bantuan pemerintah
p17,perubahan harga
p17,perubahan pendapatan
p17,perubahan pengeluaran
p17,penjualan asset
pg11,perubahan harga
pg11,perubahan pendapatan
pg11,perubahan pengeluaran
pg11,bantuan pemerintah
p18,perubahan harga
p18,perubahan pendapatan
p18,penjualan asset
p18,perubahan pengeluaran
p18,bantuan pemerintah
p18,interaksi kelompok tani
p18,tenaga kerja
p19,perubahan produksi
p19,perubahan harga
p19,perubahan pendapatan
p19,perubahan pengeluaran
p19,bantuan pemerintah
p19,persediaan pupuk
p19,interaksi kelompok tani
p19,tenaga kerja
pg12,perubahan produksi
pg12,perubahan harga
pg12,perubahan pendapatan
pg12,perubahan pengeluaran
pg12,bantuan pemerintah
pg12,persediaan pupuk
pg12,interaksi kelompok tani
pg12,tenaga kerja
pg13,perubahan harga
pg13,perubahan pendapatan
Ko. Sara ate,perubahan harga
Ko. Sara ate,perubahan pendapatan
Ko. Sara ate,perubahan pengeluaran
Ko. Sara ate,tenaga kerja
KSU rahmat kinara,perubahan produksi
KSU rahmat kinara,perubahan harga
KSU rahmat kinara,perubahan pengeluaran
KSU rahmat kinara,bantuan pemerintah
KSU rahmat kinara,tenaga kerja
KBQ baburayyan,perubahan produksi
KBQ baburayyan,perubahan harga
KBQ baburayyan,perubahan pendapatan
KBQ baburayyan,perubahan pengeluaran
KBQ baburayyan,tenaga kerja
Ko. Arinagata,perubahan produksi
Ko. Arinagata,perubahan harga
Ko. Arinagata,perubahan pendapatan
Ko. Arinagata,perubahan pengeluaran
p24,perubahan harga
p24,perubahan pendapatan
p24,perubahan pengeluaran
p22,perubahan harga
p22,perubahan pendapatan
p22,perubahan pengeluaran
p22,bantuan pemerintah
p21,perubahan harga
p21,perubahan pendapatan
p21,interaksi kelompok tani
p21,perubahan pengeluaran
p21,bantuan pemerintah
p23 ,perubahan harga
p23 ,perubahan pendapatan
p23 ,tenaga kerja
p23 ,penjualan asset
p20,perubahan harga
p20,perubahan produksi
p20,perubahan pendapatan
p20,tenaga kerja
p20,bantuan pemerintah
p25,perubahan pendapatan
p25,perubahan harga
p25,perubahan produksi
p25,bantuan pemerintah
p25,penjualan asset
p26,perubahan pendapatan
p26,perubahan harga
p26,perubahan pengeluaran
p26,penjualan asset
p26,bantuan pemerintah
p26,tenaga kerja
p27,perubahan harga
p27,perubahan produksi
p27,perubahan pendapatan
