source,target
disbun,program intensifikasi
disbun,program rehabilitasi
disbun,program pengendalian hama penyakit
disbun,subsidi benih tembakau
diskop,pertemuan antara stakeholder
diskop,usulan pembentukan BLUDDB
diskop,usulan pembentukan PLUT
diskop,menambah resi gudang melalui BAPPEBTI
p18,melakukan peminjaman
p18,beralih komoditas
pg5,melakukan peminjaman
pg5,beralih komoditas
pg13,melakukan peminjaman
pg8,merubah pekerjaan
p3,melakukan peminjaman
p4,melakukan peminjaman
p5,melakukan peminjaman
p6,melakukan peminjaman
pg1,melakukan peminjaman
pg1,beralih komoditas
p1 ,melakukan peminjaman
p2,melakukan peminjaman
p7,merubah pekerjaan
KSU Rahmat kinara,melakukan peminjaman
KSU Rahmat kinara,pengurangan tenaga kerja
KSU Rahmat kinara,membatasi pembelian kopi
Ko. Sara ate,membatasi pembelian kopi
Ko. Sara ate,pengurangan tenaga kerja
KBQ Baburayyan,menumpuk hasil produksi
KBQ Baburayyan,pengurangan tenaga kerja
KBQ Baburayyan,membatasi pembelian kopi
Ko. Arinagata,melakukan peminjaman
Ko. Arinagata,menumpuk hasil produksi
Ko. Citra mulia ertiga,menumpuk hasil produksi
p16,merubah pekerjaan
pg6,membatasi pembelian kopi
p12,melakukan peminjaman
p12,merubah pekerjaan
p13,melakukan peminjaman
p13,merubah pekerjaan
p14,beralih komoditas
p17,melakukan peminjaman
p17,beralih komoditas
p17,menumpuk hasil produksi
pg11,menumpuk hasil produksi
pg7,menumpuk hasil produksi
pg10,membatasi pembelian kopi
p15,merubah pekerjaan
p15,beralih komoditas
p19,merubah pekerjaan
pg12,membatasi pembelian kopi
pg9,membatasi pembelian kopi
pg2,melakukan peminjaman
pg2,membatasi pembelian kopi
pg3,melakukan peminjaman
p8,merubah pekerjaan
p10,melakukan peminjaman
p9,melakukan peminjaman
p9,beralih komoditas
pg4,membatasi pembelian kopi
p11,melakukan peminjaman
pg14,melakukan peminjaman
pg14,membatasi pembelian kopi
pg15,membatasi pembelian kopi
p21,melakukan peminjaman
p21,beralih komoditas
p24,membatasi pembelian kopi
p32,melakukan peminjaman
p29,merubah pekerjaan
p22,membatasi pembelian kopi
p20,melakukan peminjaman
p28,merubah pekerjaan
p30,melakukan peminjaman
p31,melakukan peminjaman
p25,menumpuk hasil produksi
p25,melakukan peminjaman
p24,beralih komoditas
p27,melakukan peminjaman
p23,melakukan peminjaman
KKGO,membatasi pembelian kopi
duma kopi,menumpuk hasil produksi
disperindag,
pg16,melakukan peminjaman
pg16,melakukan peminjaman
p26,membatasi pembelian kopi
pg,melakukan peminjaman
PT. Orion ganda,membatasi pembelian kopi
