source,target
p1,p2
p1,p3
p1,p5
p2,p3
p2,p4
p2,pg
p3,pg1
p4,pg1
p5,pg1
p6,pg2
pg,pg1
pg1,KKGO
p7,pg2
pg3,Ko. Arinagata
pg2,Ko. Arinagata
pg9,Ko. Citra mulia ertiga
p19,pg12
pg12,Ko. Sara ate
p15,pg10
pg10,KBQ Baburayyan
duma kopi,KBQ Baburayyan
pg11,Ko. Arinagata
pg11,KSU Rahmat kinara
p17,pg11
p14,duma kopi
p13,pg6
p12,pg6
pg6,Ko. Mahara
p16,pg10
Ko. Citra mulia ertiga,PT. Orionganda tama perkasa
Ko. Arinagata,ekspor asia
Ko. Arinagata,ekspor eropa
KBQ Baburayyan,ekspor asia
KBQ Baburayyan,ekspor eropa
KBQ Baburayyan,ekspor amerika
Ko. Sara ate,ekspor amerika
Ko. Sara ate,ekspor asia
KSU Rahmat kinara,PT. Orionganda tama perkasa
pg8,Ko. Citra mulia ertiga
pg4,pg2
p9,pg4
p8,p10
p10,pg13
pg13,pg1
p11,pg1
p18,pg5
p18,pg6
pg5,pg7
pg7,KBQ Baburayyan
p22,pg15
p21,pg14
p24,pg15
pg14,pg15
pg14,pg10
pg15,pg16
p10,KKGO
p23,p21
p21,p24
p24,p32
p29,p32
p29,pg14
p32,pg15
p20,p22
p22,pg15
p31,p30
p31,p28
p30,p28
p28,pg13
p27,p28
p27,p25
p25,p26
p26,pg3
KKGO,PT. Orionganda tama perkasa
